Time,temperature
12:16:6,0.00
12:16:7,34.17
12:16:8,34.17
12:16:9,34.17
12:16:10,33.69
12:16:11,34.17
12:16:12,34.17
12:16:13,34.17
12:16:14,34.66
12:16:15,34.17
12:16:16,34.17
12:16:17,34.17
12:16:18,34.17
12:16:19,34.17
12:16:20,34.17
12:16:21,34.17
12:16:22,34.17
12:16:23,34.66
12:16:24,34.17
12:16:25,34.17
12:16:26,33.69
12:16:27,34.17
12:16:28,34.17
12:16:29,34.17
12:16:30,34.17
12:16:31,34.17
12:16:32,34.17
12:16:33,34.17
12:16:34,33.69
12:16:35,34.17
12:16:36,34.17
12:16:37,34.17
12:16:38,34.17
12:16:39,34.17
12:16:40,33.69
12:16:41,33.69
12:16:42,33.69
12:16:43,33.69
12:16:44,34.17
12:16:45,33.69
12:16:46,34.17
12:16:47,33.69
12:16:48,35.15
12:16:49,34.17
12:16:50,35.15
12:16:51,33.69
12:16:52,34.66
12:16:53,35.15
12:16:54,35.15
12:16:55,35.15
12:16:56,35.15
12:16:57,35.15
12:16:58,34.66
12:16:59,35.15
12:17:0,34.17
12:17:1,34.66
12:17:2,34.17
12:17:3,34.66
12:17:4,33.69
12:17:5,34.17
12:17:6,34.17
12:17:7,34.17
12:17:8,34.66
12:17:9,34.17
12:17:10,34.17
12:17:11,34.17
12:17:12,33.69
12:17:13,33.69
12:17:14,33.69
12:17:15,33.69
12:17:16,34.17
12:17:17,34.17
12:17:18,34.17
12:17:19,34.17
12:17:20,34.66
12:17:21,35.64
12:17:22,35.15
12:17:23,35.15
12:17:24,35.15
12:17:25,35.15
12:17:26,35.15
12:17:27,34.66
12:17:28,34.66
12:17:29,34.17
12:17:30,34.17
12:17:31,34.17
12:17:32,34.17
12:17:33,33.69
12:17:35,33.69
12:17:36,33.69
12:17:37,33.69
12:17:38,33.69
12:17:39,34.17
12:17:40,35.15
12:17:41,35.15
12:17:42,35.64
12:17:43,35.15
12:17:44,35.15
12:17:45,35.15
12:17:46,34.66
12:17:47,34.66
12:17:48,34.66
12:17:49,34.66
12:17:50,34.66
12:17:51,34.17
12:17:52,34.17
12:17:53,34.66
12:17:54,33.69
12:17:55,33.69
12:17:56,34.17
12:17:57,35.15
12:17:58,35.64
12:17:59,35.15
12:18:0,35.15
12:18:1,35.64
12:18:2,34.66
12:18:3,34.66
12:18:4,34.17
12:18:5,34.66
12:18:6,34.66
12:18:7,34.17
12:18:8,33.69
12:18:9,34.17
12:18:10,34.66
12:18:11,34.17
12:18:12,34.17
12:18:13,34.17
12:18:14,35.15
12:18:15,34.17
12:18:16,34.66
12:18:17,34.17
12:18:18,34.17
12:18:19,33.69
12:18:20,33.69
12:18:21,34.17
12:18:22,33.69
12:18:23,35.15
12:18:24,34.17
12:18:25,35.15
12:18:26,35.15
12:18:27,34.66
12:18:28,35.15
12:18:29,34.17
12:18:30,34.66
12:18:31,34.17
12:18:32,34.17
12:18:33,33.69
12:18:34,33.69
12:18:35,34.17
12:18:36,33.69
12:18:37,35.15
12:18:38,33.69
12:18:39,35.15
12:18:40,35.15
12:18:41,34.66
12:18:42,34.66
12:18:43,34.17
12:18:44,34.17
12:18:45,34.17
12:18:46,34.17
12:18:47,33.69
12:18:48,33.69
12:18:49,35.15
12:18:50,35.15
12:18:51,35.15
12:18:52,35.15
12:18:53,34.17
12:18:54,34.66
12:18:55,34.17
12:18:56,34.17
12:18:57,33.69
12:18:58,33.69
12:18:59,33.69
12:19:0,33.69
12:19:1,34.17
12:19:2,35.15
12:19:3,34.66
12:19:4,34.66
12:19:5,34.66
12:19:6,34.66
12:19:7,34.17
12:19:8,34.17
12:19:9,33.69
12:19:10,33.69
12:19:11,34.66
12:19:12,33.69
12:19:13,35.15
12:19:14,35.15
12:19:15,34.66
12:19:16,34.66
12:19:17,34.17
12:19:18,34.17
12:19:19,33.69
12:19:20,33.69
12:19:21,34.17
12:19:22,33.20
12:19:23,35.15
12:19:24,35.15
12:19:25,34.17
12:19:26,35.15
12:19:27,34.17
12:19:28,34.17
12:19:29,33.69
12:19:30,34.17
12:19:31,33.20
12:19:32,33.69
12:19:33,33.69
12:19:34,34.17
12:19:36,34.17
12:19:36,34.17
12:19:38,34.17
12:19:39,34.17
12:19:40,34.17
12:19:41,33.69
12:19:42,33.69
12:19:43,33.69
